tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.875,0.3777,snap_init.ply
t5s,5.0,400,7.59,182686,14.957,0.493,snap_t5s.ply
t15s,15.0,800,15.94,182686,15.911,0.5363,snap_t15s.ply
t30s,30.0,1600,34.32,182686,17.199,0.594,snap_t30s.ply
t60s,60.0,2600,60.56,182686,18.146,0.6497,snap_t60s.ply
t120s,120.0,4600,122.88,182686,19.441,0.7048,snap_t120s.ply
final,122.88,4600,122.88,182686,19.441,0.7048,snap_final.ply
