tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.995,0.3366,snap_init.ply
t5s,5.0,200,5.23,182686,14.015,0.4833,snap_t5s.ply
t15s,15.0,700,16.29,175605,13.812,0.5094,snap_t15s.ply
t30s,30.0,1300,30.01,200538,15.556,0.5981,snap_t30s.ply
t60s,60.0,2500,60.95,277391,17.642,0.7162,snap_t60s.ply
t120s,120.0,4700,121.67,355251,18.746,0.766,snap_t120s.ply
final,121.67,4700,121.67,355251,18.746,0.766,snap_final.ply
