block,iter,t,gaussians,added,pruned,reward,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
43,4300,53.352,329562,6920,250,0.0589,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
44,4400,54.781,334505,5185,242,0.0264,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
45,4500,56.233,341234,6980,251,-0.1767,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
46,4600,57.661,346576,5638,296,-0.0021,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
47,4700,59.043,352392,6063,247,-0.1762,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
48,4800,60.398,357695,5545,242,0.0726,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
49,4900,61.816,362686,5176,185,-0.1316,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
50,5000,63.335,368188,5736,234,-0.0672,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
51,5100,64.826,372397,4474,265,-0.0144,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
52,5200,66.276,376177,4034,254,-0.1045,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
53,5300,67.704,381710,5746,213,-0.0853,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
54,5400,69.139,386031,4563,242,-0.112,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
55,5500,70.602,389624,3810,217,0.0084,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
56,5600,72.131,393200,3843,267,-0.1807,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
57,5700,73.702,396074,3116,242,-0.0056,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
58,5800,75.261,401029,5181,226,-0.0805,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
59,5900,76.757,404507,3703,225,-0.0156,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
60,6000,78.223,407785,3534,256,-0.1618,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
61,6100,79.676,411751,4225,259,-0.0294,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
62,6200,81.157,414816,3298,233,-0.1083,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
63,6300,82.711,418926,4348,238,-0.1375,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
64,6400,84.318,422362,3680,244,0.0258,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
65,6500,85.885,424769,2654,247,-0.1708,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
66,6600,87.411,427154,2655,270,-0.0754,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
67,6700,88.859,430937,4038,255,-0.0514,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
68,6800,90.354,433347,2708,298,-0.0727,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
69,6900,91.904,435658,2592,281,-0.07,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
70,7000,93.475,437998,2581,241,0.0588,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
