tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.875,0.3777,snap_init.ply
t5s,5.0,300,5.44,182686,14.53,0.4989,snap_t5s.ply
t15s,15.0,800,15.5,178097,15.108,0.5344,snap_t15s.ply
t30s,30.0,1500,32.03,215522,15.478,0.5634,snap_t30s.ply
t60s,60.0,2400,60.01,273874,17.342,0.6492,snap_t60s.ply
t120s,120.0,4000,121.58,345790,17.847,0.6906,snap_t120s.ply
final,121.58,4000,121.58,345790,17.847,0.6906,snap_final.ply
