method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,32,3200,27.79,234475,13064,726,0.8627,16.809,0.5822,0.9884,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,33,3300,28.654,247065,13176,586,0.8645,16.743,0.5841,-0.211,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,34,3400,29.54,260245,13617,437,0.8861,17.12,0.5909,0.228,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,35,3500,30.437,274103,14276,418,0.8969,17.211,0.5987,0.1345,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,36,3600,31.361,288047,14317,373,0.924,17.241,0.602,-0.1135,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,37,3700,32.292,301201,13541,387,0.9305,17.297,0.6055,-0.05,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,38,3800,33.21,315816,15004,389,0.9181,17.257,0.6035,-0.217,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,39,3900,34.127,331289,15839,366,0.9172,17.368,0.6102,0.0955,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,40,4000,35.059,344793,13833,329,0.9323,17.571,0.6148,0.0321,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,41,4100,35.987,359268,14833,358,0.928,17.358,0.6095,-0.2237,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,42,4200,36.9,375158,16198,308,0.9126,17.62,0.6204,0.1317,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,43,4300,37.837,388839,14046,365,0.9368,17.56,0.6275,0.0905,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,44,4400,38.77,402416,13916,339,0.9334,17.74,0.6287,-0.0417,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,45,4500,39.707,417843,15783,356,0.9369,17.616,0.6269,-0.2029,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,46,4600,40.714,431793,14310,360,1.007,17.828,0.6316,0.1169,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,47,4700,41.722,444986,13589,396,1.0079,17.981,0.6357,0.1032,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,48,4800,42.726,460923,16320,383,1.0039,17.855,0.6376,-0.2232,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,49,4900,43.768,474692,14162,393,1.0423,17.873,0.6409,-0.0619,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,50,5000,44.803,487622,13321,391,1.0348,18.029,0.6461,0.0137,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,51,5100,45.846,502360,15147,409,1.0433,18.028,0.653,-0.0135,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,52,5200,46.854,515296,13356,420,1.0076,18.074,0.647,-0.1303,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,53,5300,47.897,530543,15686,439,1.0436,18.127,0.6488,0.1116,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,54,5400,48.922,542936,12800,407,1.0242,17.994,0.6495,-0.1146,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,55,5500,49.99,556283,13820,473,1.0686,18.015,0.6492,-0.1044,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,56,5600,51.022,570241,14390,432,1.0316,18.166,0.6535,-0.021,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,57,5700,52.103,583352,13534,423,1.0812,18.198,0.6583,0.0494,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,58,5800,53.153,598259,15473,566,1.05,18.278,0.6618,-0.0142,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,59,5900,54.23,611053,13248,454,1.0767,18.221,0.6596,-0.1487,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,60,6000,55.326,624509,13916,460,1.096,18.246,0.6622,0.0121,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,61,6100,56.458,637474,13456,491,1.1324,18.301,0.666,-0.1511,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
