tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.221,0.3248,snap_init.ply
t5s,5.0,600,5.75,182700,10.563,0.3227,snap_t5s.ply
t15s,15.0,1500,15.48,217309,16.478,0.626,snap_t15s.ply
t30s,30.0,2700,30.05,232672,17.183,0.6837,snap_t30s.ply
t60s,60.0,5100,61.27,365192,18.843,0.7625,snap_t60s.ply
t120s,120.0,9000,121.21,475593,19.922,0.7985,snap_t120s.ply
final,121.21,9000,121.21,475593,19.922,0.7985,snap_final.ply
