method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,32,3200,39.947,250257,3019,25971,1.3938,16.716,0.5785,0.9833,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,33,3300,41.286,256636,8886,2507,1.3396,16.728,0.5855,-0.3477,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,34,3400,42.616,265909,10651,1378,1.3295,17.087,0.5959,0.129,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,35,3500,44.064,276520,11564,953,1.4484,17.073,0.6007,0.0355,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,36,3600,45.435,287921,12216,815,1.3705,17.322,0.6067,0.0376,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,37,3700,46.874,299415,12211,717,1.4395,17.455,0.6094,-0.1559,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,38,3800,48.364,311555,12749,609,1.4896,17.457,0.6079,-0.1666,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,39,3900,49.818,325041,14053,567,1.4542,17.675,0.6151,0.0436,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,40,4000,51.265,336889,12443,595,1.4471,17.647,0.6187,-0.0246,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,41,4100,52.709,349912,13547,524,1.4435,17.531,0.6151,-0.2014,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,42,4200,54.165,363114,13663,461,1.456,17.845,0.6267,0.076,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,43,4300,55.668,375026,12401,489,1.5036,17.68,0.6298,-0.0258,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,44,4400,57.248,386644,12076,458,1.5801,17.755,0.6311,-0.1781,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,45,4500,58.77,400271,14088,461,1.5213,17.544,0.6293,-0.135,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,46,4600,60.383,412314,12507,464,1.6133,17.88,0.635,0.0656,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,47,4700,62.01,423567,11728,475,1.6271,18.0,0.6392,-0.0801,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,48,4800,63.61,436994,13930,503,1.5997,17.984,0.6425,-0.0781,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,49,4900,65.256,448692,12201,503,1.6462,17.972,0.6447,-0.1243,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,50,5000,66.932,459985,11717,424,1.6767,18.142,0.6479,-0.0609,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,51,5100,68.624,472013,12486,458,1.6913,18.094,0.6565,0.0,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,52,5200,70.328,482676,11139,476,1.7038,18.308,0.6513,-0.1418,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,53,5300,72.024,495373,13238,541,1.6966,18.314,0.6545,-0.0117,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,54,5400,73.734,505755,10859,477,1.7102,18.152,0.6532,-0.1452,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,55,5500,75.573,516651,11443,547,1.8382,18.228,0.6538,-0.0946,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,56,5600,77.344,528052,11886,485,1.7713,18.348,0.6575,-0.1074,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,57,5700,79.144,538812,11253,493,1.8,18.444,0.6634,-0.0121,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,58,5800,81.026,551343,13163,632,1.8819,18.426,0.6648,-0.1282,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,59,5900,82.879,561745,10944,542,1.8533,18.446,0.6623,-0.0859,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,60,6000,84.741,572971,11741,515,1.8617,18.531,0.6679,-0.0326,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,61,6100,86.761,583606,11120,485,2.0198,18.569,0.6713,-0.1588,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,62,6200,88.76,594032,10990,564,1.9992,18.541,0.6722,-0.1164,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,63,6300,90.767,607305,13854,581,2.007,18.563,0.6765,-0.1044,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,64,6400,92.778,617733,10999,571,2.0117,18.582,0.6762,-0.0799,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,65,6500,94.811,628105,10924,552,2.0322,18.681,0.6771,-0.0931,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,66,6600,96.954,638652,11146,599,2.143,18.711,0.6804,-0.0967,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,67,6700,98.954,648461,10404,595,1.9999,18.539,0.6762,-0.09,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,68,6800,101.058,659383,11584,662,2.1046,18.717,0.6784,-0.124,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,69,6900,103.179,670021,11285,647,2.1206,18.771,0.6876,-0.0891,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,70,7000,105.341,680146,10690,565,2.1621,18.753,0.6834,-0.1234,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
