target_psnr,baseline_s,agentic_s,speedup
16.0,20.14,9.68,2.08
17.0,36.21,22.41,1.616
18.0,66.11,63.11,1.048
19.0,99.0,96.51,1.026
20.0,221.35,167.18,1.324
21.0,601.24,342.36,1.756
