target_psnr,baseline_s,agentic_s,speedup
16.0,41.46,24.44,1.697
17.0,87.02,44.89,1.939
18.0,121.96,66.67,1.829
19.0,174.76,92.9,1.881
20.0,380.71,223.29,1.705
21.0,831.73,476.05,1.747
