target_psnr,baseline_s,agentic_s,speedup
16.0,17.65,14.18,1.244
17.0,30.32,17.58,1.724
18.0,46.7,35.91,1.3
19.0,66.66,50.93,1.309
20.0,135.74,79.15,1.715
21.0,281.31,200.08,1.406
