tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.875,0.3777,snap_init.ply
t5s,5.0,200,5.39,182686,13.667,0.464,snap_t5s.ply
t15s,15.0,700,16.22,175418,13.304,0.4864,snap_t15s.ply
t30s,30.0,1400,32.11,203804,15.726,0.5751,snap_t30s.ply
t60s,60.0,2600,62.6,273927,17.272,0.6534,snap_t60s.ply
t120s,120.0,5000,121.6,472907,18.139,0.7127,snap_t120s.ply
final,121.6,5000,121.6,472907,18.139,0.7127,snap_final.ply
