tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.875,0.3777,snap_init.ply
t5s,5.0,250,6.45,182686,14.183,0.4796,snap_t5s.ply
t15s,15.0,850,18.24,192052,15.853,0.56,snap_t15s.ply
t30s,30.0,1650,32.23,242123,16.789,0.6109,snap_t30s.ply
t60s,60.0,3250,60.04,327484,18.529,0.6901,snap_t60s.ply
t120s,120.0,6650,120.74,373515,20.229,0.7491,snap_t120s.ply
final,120.74,6650,120.74,373515,20.229,0.7491,snap_final.ply
