target_psnr,baseline_s,agentic_s,speedup
16.0,,,
17.0,,,
18.0,7.23,3.36,2.154
19.0,9.36,5.9,1.587
20.0,11.5,8.34,1.378
21.0,15.37,10.42,1.475
22.0,23.28,27.06,0.86
23.0,37.66,32.58,1.156
24.0,65.46,63.0,1.039
