method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,32,3200,38.458,1204627,6614,53489,1.4306,16.917,0.4653,-4.3745,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,33,3300,39.899,1261017,63939,7549,1.4408,18.791,0.498,-4.1013,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,34,3400,41.325,1348994,90911,2934,1.4259,19.501,0.5147,-4.6274,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,35,3500,42.853,1449325,102446,2115,1.5279,19.832,0.5258,-5.0978,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,36,3600,44.428,1551455,103880,1750,1.5753,20.167,0.5345,-5.5073,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,37,3700,46.02,1658920,108834,1369,1.5917,20.335,0.5423,-5.963,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,38,3800,47.651,1761555,103940,1305,1.6308,20.486,0.5518,-6.3459,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,39,3900,49.272,1866938,106506,1123,1.6218,20.568,0.555,-6.7701,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,40,4000,50.984,1968140,102235,1033,1.7115,20.632,0.5598,-7.1532,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,41,4100,52.698,2055943,88704,901,1.7144,20.733,0.5663,-7.4426,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,42,4200,54.461,2147025,91989,907,1.7625,20.814,0.572,-7.8161,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,43,4300,56.249,2231740,85710,995,1.7878,20.839,0.5746,-8.1227,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,44,4400,58.065,2308633,77713,820,1.8165,20.88,0.5784,-8.3937,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,45,4500,59.929,2385772,78002,863,1.8636,20.919,0.5807,-8.6989,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,46,4600,61.877,2454112,69164,824,1.9481,20.915,0.5819,-8.935,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,47,4700,63.785,2533023,79674,763,1.9078,20.981,0.5847,-9.2821,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,48,4800,65.772,2599845,67584,762,1.9871,20.992,0.5867,-9.4995,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,49,4900,67.804,2660614,61590,821,2.0327,21.086,0.592,-9.7145,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,50,5000,69.822,2724879,64968,703,2.0175,21.059,0.5931,-9.9792,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,51,5100,71.778,2598872,4771,130778,1.956,19.03,0.5523,-10.1812,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,52,5200,73.746,2626556,42073,14389,1.9682,20.575,0.5815,-9.4288,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,53,5300,75.664,2683837,61063,3782,1.918,21.075,0.5951,-9.7788,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,54,5400,77.671,2738678,57475,2634,2.0067,21.221,0.6002,-9.9935,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,55,5500,79.751,2787493,50784,1969,2.0797,21.228,0.6028,-10.1661,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,56,5600,81.902,2840565,54445,1373,2.1517,21.246,0.604,-10.3934,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,57,5700,84.14,2884445,45431,1551,2.238,21.281,0.6075,-10.5327,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,58,5800,86.355,2926785,43627,1287,2.2141,21.326,0.61,-10.6908,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,59,5900,88.48,2970104,44529,1210,2.1252,21.322,0.6094,-10.8625,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,60,6000,90.518,2880495,3556,93165,2.0383,19.925,0.5783,-10.7626,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,61,6100,92.572,2904956,31100,6639,2.0539,21.134,0.6075,-10.5184,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,62,6200,94.669,2939105,37371,3222,2.097,21.291,0.6112,-10.7002,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,63,6300,96.742,2971311,34581,2375,2.0732,21.37,0.6146,-10.8177,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,64,6400,98.873,3000900,31392,1803,2.1309,21.411,0.6171,-10.926,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
