tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.221,0.3248,snap_init.ply
t5s,5.0,600,6.1,182694,10.753,0.3289,snap_t5s.ply
t15s,15.0,1400,15.39,173080,16.329,0.6217,snap_t15s.ply
t30s,30.0,2800,30.45,185309,16.914,0.6867,snap_t30s.ply
final,32.55,3000,32.55,185309,17.934,0.7218,snap_final.ply
