block,iter,t,gaussians,added,pruned,reward,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
43,4300,68.043,407569,10898,269,-0.0001,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
44,4400,69.771,415739,8484,314,0.0068,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
45,4500,71.516,426087,10633,285,-0.2098,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
46,4600,73.411,434441,8708,354,-0.0614,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
47,4700,75.289,444057,9883,267,-0.1237,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
48,4800,77.239,452549,8796,304,-0.0394,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
49,4900,79.063,461243,8972,278,-0.1238,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
50,5000,80.9,469518,8558,283,-0.1133,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
51,5100,82.75,476140,6940,318,-0.0625,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
52,5200,84.651,482726,6871,285,-0.116,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
53,5300,86.56,491586,9191,331,-0.1072,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
54,5400,88.465,498669,7379,296,-0.102,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
55,5500,90.349,504995,6621,295,-0.0444,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
56,5600,92.188,511159,6450,286,-0.1242,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
57,5700,94.153,516265,5398,292,-0.0655,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
58,5800,96.091,523672,7703,296,-0.1175,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
59,5900,98.065,529528,6172,316,-0.0467,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
60,6000,99.98,535222,6017,323,-0.1533,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
61,6100,101.848,541691,6806,337,-0.0718,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
62,6200,103.743,546886,5526,331,-0.1254,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
63,6300,105.733,553240,6642,288,-0.1463,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
64,6400,107.745,558930,6019,329,-0.0396,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
65,6500,109.71,563083,4454,301,-0.1468,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
66,6600,111.645,567120,4392,355,-0.0893,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
67,6700,113.547,573201,6394,313,-0.0961,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
68,6800,115.525,577485,4605,321,-0.1226,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
69,6900,117.524,581355,4223,353,-0.0833,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
70,7000,119.466,585260,4239,334,-0.042,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
