tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.115,0.3719,snap_init.ply
t5s,5.0,400,6.17,182686,11.213,0.387,snap_t5s.ply
t15s,15.0,1000,15.25,157590,13.689,0.4869,snap_t15s.ply
t30s,30.0,2000,30.37,197169,15.815,0.5777,snap_t30s.ply
t60s,60.0,3900,61.07,362104,17.549,0.6807,snap_t60s.ply
final,119.47,7000,119.47,585260,18.785,0.7304,snap_final.ply
