tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.115,0.3719,snap_init.ply
t5s,5.0,400,6.27,182686,11.33,0.3897,snap_t5s.ply
t15s,15.0,1000,15.95,213853,15.167,0.5369,snap_t15s.ply
t30s,30.0,2000,32.51,299544,17.024,0.6351,snap_t30s.ply
t60s,60.0,3600,63.66,443778,18.341,0.6906,snap_t60s.ply
t120s,120.0,6200,124.69,682869,19.158,0.7423,snap_t120s.ply
final,124.69,6200,124.69,682869,19.158,0.7423,snap_final.ply
