tag,trigger_s,iter,time_s,gaussians,psnr,ssim,ply
init,0.0,0,0.0,182686,10.221,0.3248,snap_init.ply
t5s,5.0,550,5.33,182686,11.252,0.3364,snap_t5s.ply
t15s,15.0,1450,15.28,184840,16.818,0.6297,snap_t15s.ply
t30s,30.0,2750,30.57,231156,18.046,0.7181,snap_t30s.ply
t60s,60.0,5550,60.57,375038,19.814,0.7878,snap_t60s.ply
t120s,120.0,9850,120.22,507042,21.125,0.8196,snap_t120s.ply
final,120.22,9850,120.22,507042,21.125,0.8196,snap_final.ply
