budget,n_seeds,test_psnr_mean,test_psnr_std,test_ssim_mean,test_ssim_std,gaussians_mean,gaussians_std,final_iter_mean,final_iter_std,densify_on_blocks_mean,densify_on_blocks_std,train_seconds_mean,train_seconds_std
30,10,17.0838,0.3033,0.66,0.0099,294818.8,8576.3651,3510,53.8516,35.1,0.5385,30.43,0.3035
60,10,19.0571,0.1971,0.7299,0.0032,522438.9,20573.7992,6590,83.0662,65.9,0.8307,60.4,0.2683
120,10,20.0661,0.1813,0.7588,0.0019,701762.4,25474.2262,12220,153.6229,122.2,1.5362,120.29,0.2166
300,10,21.4976,0.2401,0.7902,0.0047,765618,11924.8077,29290,341.9064,292.9,3.4191,300.49,0.2343
360,10,21.4413,0.2496,0.7899,0.0029,760037.7,37170.7871,30000,0.0,300,0.0,305.9,5.7072
unlimited,10,21.4884,0.1392,0.7899,0.0029,751976,16892.3831,30000,0.0,300,0.0,304.92,2.4931
